MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
340,1,Division III,thaddeusstevenscollegeoftechnology,Levon Brown,,,,Wing,,,12,3.385,3.0000000000000004,4.1,3,14.0,5.5,1.75,1.6666666666666667,1.6666666666666667,1.0833333333333333,1.3333333333333333,11.083333333333334,1.0833333333333333,4.083333333333333,1.5833333333333333,3.9166666666666665,0.5434782608695652,0.5263157894736842,96.24197983501375,0.16344569288389513,1.05,0.1145737855178735,0.15384615384615385,0.09774436090225563,0.3684210526315789,2.075765438505449,3.4250129735339905,6.850025947067981,1.660612350804359,Average,3,Average,3,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
801,2,Division III,thaddeusstevenscollegeoftechnology,Kneco Hill,,,,Wing,,,16,3.0725,2.9,3.35,3,17.875,4.8125,4.0625,3.3125,2.25,0.0625,1.625,14.6875,5.75,4.1875,1.375,3.4375,0.5406836055656382,0.49148936170212765,90.08441476628448,0.2209571003034437,1.2264150943396226,0.16693964974171602,0.31521739130434784,0.39148936170212767,0.2851063829787234,4.086353122590594,2.8527370855821124,5.936777178103315,2.004626060138782,Average,3,Very Good,4,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
1028,3,Division III,thaddeusstevenscollegeoftechnology,Isaiah Diggs,,,,Wing,,,16,2.96,2.8499999999999996,3.1,3,7.75,9.875,1.0625,0.9375,0.8125,0.625,2.4375,5.9375,0.125,2.5625,2.0,7.875,0.548478414720453,0.5473684210526316,96.84473601999376,0.089112218479441,1.1333333333333333,0.11715089034676664,0.0,0.021052631578947368,0.43157894736842106,1.1565150346954511,1.7733230531996915,12.181958365458751,3.0069390902081725,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Very Good,4,Very Good,4,Elite,5,Unknown
2054,4,Division III,thaddeusstevenscollegeoftechnology,William Fowlkes,,,,Wing,,,16,2.5600000000000005,2.0500000000000003,3.1,3,8.1875,3.25,1.5,2.0,1.625,0.625,2.9375,6.6875,2.3125,3.5,0.875,2.375,0.49756912792464303,0.45794392523364486,80.05377658274261,0.11388881155869825,0.75,0.19555120997311173,0.32432432432432434,0.34579439252336447,0.5233644859813084,2.4672320740169624,2.7756360832690823,4.009252120277564,3.623747108712413,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
2357,5,Division III,thaddeusstevenscollegeoftechnology,Willie Hashamy,,,,Wing,,,14,2.4775,2.2,2.6500000000000004,3,7.071428571428571,4.214285714285714,1.7142857142857142,1.1428571428571428,1.3571428571428572,0.35714285714285715,2.642857142857143,6.714285714285714,1.0714285714285714,1.2857142857142858,1.5714285714285714,2.642857142857143,0.4856750392464678,0.4574468085106383,83.95522388059702,0.09402609000733585,1.5,0.13568521031207598,0.26666666666666666,0.1595744680851064,0.19148936170212766,1.4184397163120568,2.127659574468085,5.2304964539007095,3.280141843971631,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2423,6,Division III,thaddeusstevenscollegeoftechnology,Tyree Banks,,,,Wing,,,12,2.4575000000000005,2.3000000000000003,2.45,3,6.416666666666667,4.833333333333333,1.9166666666666667,0.75,0.9166666666666666,0.6666666666666666,1.3333333333333333,6.583333333333333,4.583333333333333,0.5833333333333334,1.0,3.8333333333333335,0.46905458089668617,0.45569620253164556,84.54106280193237,0.0852808988764045,2.5555555555555554,0.09881422924901186,0.2909090909090909,0.6962025316455697,0.08860759493670886,0.934094447327452,1.9719771665801764,6.019719771665802,1.660612350804359,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Poor,1,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3683,7,Division III,thaddeusstevenscollegeoftechnology,Anthony Henson,,,,Wing,,,11,2.125,1.95,2.0,3,5.181818181818182,0.6363636363636364,1.1818181818181819,1.8181818181818181,0.6363636363636364,0.0,1.3636363636363635,4.636363636363637,3.0,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.5493446414803392,0.5392156862745098,79.29883138564274,0.07349993864779746,0.65,0.2782415136338342,0.3939393939393939,0.6470588235294118,0.0392156862745098,2.2637238256932655,0.7923033389926429,0.7923033389926429,1.697792869269949,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3936,8,Division III,thaddeusstevenscollegeoftechnology,Luis Torres,,,,Wing,,,12,2.05,1.8,2.0,3,3.0,0.75,0.5833333333333334,0.75,0.5833333333333334,0.0,1.75,2.5833333333333335,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5421686746987951,0.5161290322580645,85.30805687203791,0.03942746094625907,0.7777777777777778,0.21327014218009477,0.0,0.12903225806451613,0.16129032258064516,0.9345794392523364,0.726895119418484,0.9345794392523364,2.1806853582554515,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4016,9,Division III,thaddeusstevenscollegeoftechnology,Jesse Smith,,,,Wing,,,13,2.025,1.75,2.0,3,3.6923076923076925,2.3846153846153846,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.15384615384615385,2.1538461538461537,5.769230769230769,4.3076923076923075,0.46153846153846156,0.38461538461538464,2.0,0.3091190108191654,0.3,54.151624548736464,0.0767711761649056,1.0,0.12409747292418773,0.16071428571428573,0.7466666666666667,0.08,1.0566762728146013,1.344860710854947,2.97790585975024,2.689721421709894,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4204,10,Division III,thaddeusstevenscollegeoftechnology,Travis Turner,,,,Wing,,,13,1.95,1.6,2.0,3,4.153846153846154,1.9230769230769231,0.46153846153846156,1.4615384615384615,0.3076923076923077,0.23076923076923078,0.9230769230769231,3.6153846153846154,0.5384615384615384,0.6923076923076923,0.6153846153846154,1.3076923076923077,0.5298273155416012,0.5319148936170213,77.1869639794168,0.06013615733736762,0.3157894736842105,0.27158376214979985,0.0,0.14893617021276595,0.19148936170212766,1.806083650190114,0.6653992395437263,2.376425855513308,1.1406844106463878,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4515,11,Division III,thaddeusstevenscollegeoftechnology,Sincere Scales,,,,Wing,,,6,1.8,1.3,2.0,3,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,1.0,0.16666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,50.0,0.014949917775452235,1.0,0.25,0.0,0.16666666666666666,0.0,0.42105263157894735,0.21052631578947367,1.6842105263157894,0.42105263157894735,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
