MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
34,1,Division III,ucnj,Nicolas Acosta,8,Class: Sophomore,Position: Forward,Big,6'8,,19,4.0325,3.65,4.85,3,19.68421052631579,15.157894736842104,1.5263157894736843,1.4736842105263157,3.526315789473684,2.9473684210526314,2.8421052631578947,14.210526315789474,0.05263157894736842,6.2105263157894735,5.526315789473684,9.631578947368421,0.580889662027833,0.562962962962963,106.88157293095564,0.222799511002445,1.0357142857142858,0.0800182898948331,0.0,0.003703703703703704,0.43703703703703706,2.20125786163522,9.669811320754716,22.641509433962263,4.245283018867925,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Average
153,2,Division III,ucnj,Jake Zawacki,12,Class: Sophomore,Position: Guard,Guard,6'1,,12,3.6275000000000004,3.6000000000000005,3.8500000000000005,3,16.0,5.666666666666667,1.25,2.1666666666666665,1.75,0.25,1.9166666666666667,11.5,6.583333333333333,1.3333333333333333,2.1666666666666665,3.5,0.6618863761720905,0.6485507246376812,112.25444340505146,0.16904526586281873,0.5769230769230769,0.1520112254443405,0.4177215189873418,0.572463768115942,0.11594202898550725,3.1843233312921004,2.9393753827311695,8.328230251071647,2.816901408450704,Elite,5,Below Average,2,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Very Good,4,Average,3,Very Good,4,Very Good,4,Average
317,3,Division III,ucnj,Tareak Williams,0,Class: Sophomore,Position: Guard,Guard,6'2,,16,3.4075,3.0500000000000007,3.8,4,11.375,3.8125,4.3125,2.125,2.5625,0.0,2.1875,8.1875,3.5,3.6875,1.6875,2.125,0.5797655453618756,0.5229007633587787,95.30791788856304,0.14416862958265386,2.0294117647058822,0.17804775869291997,0.30357142857142855,0.42748091603053434,0.45038167938931295,3.1865042174320526,3.8425492033739457,5.716963448922212,3.280224929709466,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Average,3,Very Good,4,Very Good
1018,4,Division III,ucnj,Anthony Hicks,1,Class: Sophomore,Position: Guard,Guard,6'1,,13,2.9675000000000002,2.4,3.85,3,7.538461538461538,2.6153846153846154,3.4615384615384617,1.7692307692307692,1.7692307692307692,0.23076923076923078,1.6153846153846154,5.923076923076923,2.1538461538461537,1.9230769230769231,0.7692307692307693,1.8461538461538463,0.5568181818181818,0.5324675324675324,88.28828828828829,0.10267890179826834,1.9565217391304348,0.2072072072072072,0.42857142857142855,0.36363636363636365,0.3246753246753247,2.6345933562428407,2.9782359679266897,3.8946162657502863,2.4054982817869415,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Elite,5,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Poor,1,Elite,5,Elite,5,Average
1071,5,Division III,ucnj,Jeremiah Saint Jean,44,Class: Sophomore,Position: Center,Big,6'11,,19,2.95,1.5999999999999999,3.7,5,8.0,10.578947368421053,1.7894736842105263,1.736842105263158,0.9473684210526315,1.894736842105263,3.789473684210526,7.947368421052632,0.0,2.3684210526315788,4.2631578947368425,6.315789473684211,0.4449648711943794,0.39072847682119205,74.5829244357213,0.12976263243683783,1.0303030303030303,0.1619234543670265,,0.0,0.2980132450331126,2.5943396226415096,4.245283018867925,15.80188679245283,5.660377358490566,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Elite
2310,6,Division III,ucnj,James Downing,11,Class: Freshman,Position: Guard,Guard,6'2,,7,2.495,2.2500000000000004,2.45,4,2.4285714285714284,0.8571428571428571,0.42857142857142855,0.2857142857142857,1.1428571428571428,0.2857142857142857,2.0,2.4285714285714284,1.1428571428571428,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.44270833333333337,0.4117647058823529,80.18867924528303,0.034406647623993765,1.5,0.09433962264150944,0.25,0.47058823529411764,0.29411764705882354,0.41025641025641024,2.051282051282051,1.2307692307692308,2.871794871794872,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Very Good
2850,7,Division III,ucnj,Jasir Calloway,3,Class: Sophomore,Position: Guard,Guard,6'0,,15,2.335,2.3,2.2,3,4.0,1.8,0.7333333333333333,0.6666666666666666,0.8,0.0,1.2,3.2666666666666666,0.8,0.8,1.0,0.8,0.552689756816507,0.5306122448979592,93.34163036714375,0.05129760270693013,1.1,0.1555693839452396,0.3333333333333333,0.24489795918367346,0.24489795918367346,0.9852216748768473,1.1822660098522169,2.6600985221674875,1.7733990147783252,Average,3,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Average,3,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Average
2934,8,Division III,ucnj,Aljanai Best,2,Class: Freshman,Position: Guard,Guard,5'10,,7,2.3175000000000003,2.45,2.2,2,1.7142857142857142,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,1.4285714285714286,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.5102040816326531,0.5,87.20930232558139,0.022411883510326403,2.0,0.14534883720930233,0.0,0.4,0.4,0.4098360655737705,0.4098360655737705,1.0245901639344261,0.819672131147541,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average
4380,9,Division III,ucnj,Craig West,7,Class: Sophomore,Position: Guard,Guard,5'11,,12,1.8775000000000002,1.6500000000000001,2.2,2,2.3333333333333335,2.0,2.0,1.25,0.75,0.08333333333333333,1.4166666666666667,2.5,1.0,1.25,0.25,1.75,0.3825136612021858,0.3333333333333333,54.263565891472865,0.051190476190476196,1.6,0.29069767441860467,0.16666666666666666,0.4,0.5,1.803968731208659,1.2026458208057726,2.8863499699338546,2.0444978953698136,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average
4530,10,Division III,ucnj,Zahkey Jeter,24,Class: Freshman,Position: Guard,Guard,6'5,,9,1.7725,1.2,1.75,5,2.4444444444444446,4.333333333333333,0.5555555555555556,0.7777777777777778,0.0,0.1111111111111111,2.3333333333333335,2.5555555555555554,0.1111111111111111,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.4290171606864274,0.391304347826087,67.40196078431373,0.04402719326642927,0.7142857142857143,0.21446078431372548,0.0,0.043478260869565216,0.2608695652173913,1.1824324324324325,0.16891891891891891,6.587837837837838,3.5472972972972974,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Elite
