MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
139,1,Division III,virginiapeninsulacc,Jordan Watlington,,,,Wing,,,13,3.6325000000000003,3.6,3.95,3,11.846153846153847,6.769230769230769,3.4615384615384617,1.3076923076923077,2.0,0.3076923076923077,2.0,8.846153846153847,1.1538461538461537,3.230769230769231,2.3846153846153846,4.384615384615385,0.5768654480071921,0.5260869565217391,102.33918128654972,0.12591625665227432,2.6470588235294117,0.11297182349813929,0.2,0.13043478260869565,0.3652173913043478,1.6840019811788014,2.971768202080238,8.71718672610203,2.575532441802873,Very Good,4,Below Average,2,Average,3,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
292,2,Division III,virginiapeninsulacc,Chris Cyrus,,,,Wing,,,11,3.38,3.2,3.8,3,11.545454545454545,3.727272727272727,2.272727272727273,1.6363636363636365,1.7272727272727273,0.8181818181818182,1.8181818181818181,9.090909090909092,4.818181818181818,1.9090909090909092,1.4545454545454546,2.272727272727273,0.581288905162944,0.57,99.81138006916065,0.12344768705371002,1.3888888888888888,0.141464948129519,0.37735849056603776,0.53,0.21,2.0701552616446235,3.2202415181138586,4.7153536515238645,2.3001725129384702,Very Good,4,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
943,3,Division III,virginiapeninsulacc,Jakobe Reed,,,,Wing,,,12,2.9400000000000004,2.9499999999999997,2.9000000000000004,3,8.833333333333334,2.0,4.666666666666667,1.3333333333333333,1.75,0.16666666666666666,1.25,7.083333333333333,2.0,2.75,0.25,1.75,0.532556270096463,0.4647058823529412,91.7590027700831,0.10337545190965386,3.5,0.13850415512465375,0.2916666666666667,0.2823529411764706,0.38823529411764707,1.6913319238900635,2.431289640591966,2.536997885835095,1.5856236786469344,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1437,4,Division III,virginiapeninsulacc,Emmanuel Angila,,,,Wing,,,13,2.7250000000000005,2.8000000000000007,2.5,3,7.538461538461538,5.461538461538462,3.769230769230769,1.4615384615384615,1.0,0.38461538461538464,2.5384615384615383,5.846153846153846,1.7692307692307692,1.0,1.6153846153846154,3.8461538461538463,0.5996084189916789,0.5789473684210527,97.29944400317713,0.0842788767279178,2.5789473684210527,0.18864177918983321,0.34782608695652173,0.3026315789473684,0.17105263157894737,1.8821198613174839,1.7830609212481427,7.033184744923229,3.2689450222882614,Very Good,4,Poor,1,Below Average,2,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
1658,5,Division III,virginiapeninsulacc,Jayden Sepulveda,,,,Wing,,,13,2.6325000000000003,2.6500000000000004,2.45,3,11.23076923076923,2.3846153846153846,3.076923076923077,1.3846153846153846,1.0769230769230769,0.15384615384615385,1.0769230769230769,10.538461538461538,4.076923076923077,1.0,0.7692307692307693,1.6153846153846154,0.5114910313901345,0.5,90.84121453459433,0.13448472068815479,2.2222222222222223,0.11199601791936287,0.32075471698113206,0.38686131386861317,0.0948905109489051,1.7830609212481427,1.58494304110946,3.070827142149579,1.3868251609707776,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1744,6,Division III,virginiapeninsulacc,Isaiah Thomas,,,,Wing,,,13,2.5999999999999996,2.9,2.0,3,4.384615384615385,1.3846153846153846,1.5384615384615385,0.6153846153846154,0.8461538461538461,0.23076923076923078,1.2307692307692308,3.5384615384615383,1.2307692307692308,1.0769230769230769,0.3076923076923077,1.0769230769230769,0.5463957055214724,0.5434782608695652,94.74734042553192,0.0503397262107976,2.5,0.13297872340425532,0.5,0.34782608695652173,0.30434782608695654,0.79247152055473,1.3868251609707776,1.7830609212481427,1.58494304110946,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1940,7,Division III,virginiapeninsulacc,Ky'Saan Bevier,,,,Wing,,,13,2.5250000000000004,2.75,2.0,3,6.230769230769231,2.6153846153846154,1.3076923076923077,0.8461538461538461,0.9230769230769231,0.0,1.3076923076923077,5.384615384615385,2.3076923076923075,1.9230769230769231,1.1538461538461537,1.4615384615384615,0.5,0.4642857142857143,88.04347826086956,0.07698229407236336,1.5454545454545454,0.11956521739130435,0.36666666666666664,0.42857142857142855,0.35714285714285715,1.0896483407627537,1.188707280832095,3.368003962357603,1.6840019811788014,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2128,8,Division III,virginiapeninsulacc,Cameron Taylor,,,,Wing,,,13,2.4574999999999996,2.3,2.45,3,6.153846153846154,4.6923076923076925,0.38461538461538464,0.9230769230769231,0.6153846153846154,0.8461538461538461,1.6923076923076923,5.3076923076923075,1.1538461538461537,2.0,1.3846153846153846,3.3076923076923075,0.4972650422675286,0.45652173913043476,86.54262224145391,0.0773504702614051,0.4166666666666667,0.1298139333621809,0.2,0.21739130434782608,0.37681159420289856,1.188707280832095,1.8821198613174839,6.042595344229817,2.1792966815255075,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2332,9,Division III,virginiapeninsulacc,Dominique Fields Jr,,,,Wing,,,8,2.4,2.15,2.5,3,5.375,5.375,0.75,0.75,0.75,0.75,2.5,5.0,0.125,1.75,2.25,3.125,0.46577123050259966,0.45,82.43865030674847,0.070171662271969,1.0,0.11503067484662577,0.0,0.025,0.35,0.9700889248181084,1.9401778496362168,6.952303961196443,3.2336297493936943,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
2692,10,Division III,virginiapeninsulacc,Paul Samuel,,,,Wing,,,12,2.3,2.3,2.0,3,2.0,3.25,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25,1.1666666666666667,2.6666666666666665,0.16666666666666666,0.25,1.3333333333333333,1.9166666666666667,0.36014405762304924,0.34375,67.95016987542469,0.03206944141788335,3.5,0.056625141562853906,0.0,0.0625,0.09375,0.215633423180593,0.862533692722372,4.204851752021563,1.509433962264151,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2768,11,Division III,virginiapeninsulacc,Ramone Green,,,,Wing,,,11,2.275,2.25,2.0,3,2.6363636363636362,2.0,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.45454545454545453,2.909090909090909,1.1818181818181819,1.0909090909090908,0.9090909090909091,1.0909090909090908,0.38894849785407726,0.328125,70.25193798449612,0.04079857679383277,0.5,0.09689922480620154,0.23076923076923078,0.40625,0.375,0.46893317702227433,0.46893317702227433,2.5791324736225087,0.5861664712778429,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
