MasterRank,TeamRank,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
19,1,chesapeakecollege,La'Shaun Moody,5,So,G,Guard,,,12,3.8450000000000006,3.9000000000000004,4.0,3,21.333333333333332,4.916666666666667,4.083333333333333,2.25,2.4166666666666665,0.0,1.75,16.083333333333332,7.666666666666667,5.0,1.3333333333333333,3.5833333333333335,0.5834092980856882,0.5751295336787565,103.8961038961039,0.23726071717444056,1.8148148148148149,0.10957792207792208,0.391304347826087,0.47668393782383417,0.31088082901554404,2.9719317556411666,3.1920748486516235,6.494221243808475,2.3115024766097965,Very Good,4,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
83,2,chesapeakecollege,Vince Gilberto,21,So,G,Guard,,,11,3.1325000000000003,3.7500000000000004,2.2,3,6.454545454545454,3.909090909090909,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.9090909090909091,5.0,3.8181818181818183,0.7272727272727273,0.7272727272727273,3.1818181818181817,0.6066302118933697,0.6,108.36385836385834,0.06895971035237655,1.1428571428571428,0.10683760683760682,0.42857142857142855,0.7636363636363637,0.14545454545454545,0.8423586040914561,0.9626955475330926,5.174488567990373,1.203369434416366,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
99,3,chesapeakecollege,Cade Campbell,4,Fr,PG,Guard,,,10,3.0775000000000006,3.6500000000000004,2.2,3,6.3,3.1,1.6,0.4,0.8,0.1,1.1,5.2,4.8,1.2,0.1,3.0,0.5499301675977654,0.5288461538461539,102.80678851174935,0.07094563304621654,4.0,0.06527415143603132,0.3541666666666667,0.9230769230769231,0.23076923076923078,0.5294506949040371,1.1912640635340834,4.103242885506287,1.455989410986102,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
119,4,chesapeakecollege,Elisha Johnson-Dixon,1,Fr,PG,Guard,,,12,2.9450000000000003,2.5500000000000003,3.5500000000000003,3,14.416666666666666,6.25,3.4166666666666665,2.8333333333333335,1.8333333333333333,0.6666666666666666,2.5,10.75,2.3333333333333335,3.5,1.9166666666666667,4.333333333333333,0.5865202061296447,0.5503875968992248,95.3273087943575,0.17474868081500597,1.2058823529411764,0.18734846815076042,0.2857142857142857,0.21705426356589147,0.32558139534883723,3.7424325811777654,3.302146395156852,8.25536598789213,3.302146395156852,Very Good,4,Average,3,Below Average,2,Below Average,2,Below Average,2,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Average,3,Very Good,4,Unknown
127,5,chesapeakecollege,Kionne Lang,22,So,PF,Wing,,,6,2.8899999999999997,1.8,4.4,3,2.3333333333333335,6.333333333333333,1.1666666666666667,0.8333333333333334,1.0,1.5,1.0,2.3333333333333335,0.0,1.3333333333333333,2.8333333333333335,3.5,0.3995433789954338,0.35714285714285715,62.166962699822385,0.044527048402404304,1.4,0.22202486678507993,,0.0,0.5714285714285714,1.1402508551881414,3.420752565564424,8.665906499429875,1.3683010262257698,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Unknown
154,6,chesapeakecollege,Koby Ennals,24,Fr,F,Wing,,,9,2.7250000000000005,3.1500000000000004,2.0,3,5.111111111111111,3.111111111111111,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.1111111111111111,1.6666666666666667,4.111111111111111,1.3333333333333333,0.8888888888888888,0.8888888888888888,2.2222222222222223,0.5676209279368213,0.5405405405405406,103.32434860736747,0.057100348861071216,1.5,0.08984725965858041,0.3333333333333333,0.32432432432432434,0.21621621621621623,0.5847953216374269,1.023391812865497,4.093567251461988,2.192982456140351,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
238,7,chesapeakecollege,Xavier Buchanan,0,Fr,F,Wing,,,10,2.3,2.3000000000000003,2.0,3,5.7,2.9,0.8,1.0,0.5,0.1,1.7,4.8,2.0,2.3,1.1,1.8,0.49036476256022027,0.4270833333333333,83.67586611861421,0.07924247359359733,0.8,0.1467997651203758,0.25,0.4166666666666667,0.4791666666666667,1.3324450366422385,0.7994670219853431,3.864090606262492,2.2651565622918053,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
261,8,chesapeakecollege,Max Hershkowitz,23,Fr,F,Wing,,,9,2.15,2.0,2.0,3,2.111111111111111,2.2222222222222223,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111,1.0,1.6666666666666667,0.2222222222222222,0.5555555555555556,0.6666666666666666,1.5555555555555556,0.5523255813953488,0.6,72.51908396946565,0.03329436283230824,0.1111111111111111,0.3435114503816794,0.0,0.13333333333333333,0.3333333333333333,1.308139534883721,0.29069767441860467,2.9069767441860463,1.308139534883721,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
266,9,chesapeakecollege,Careen Bolden,2,Fr,G,Guard,,,11,2.115,1.55,2.75,3,9.545454545454545,3.8181818181818183,1.9090909090909092,2.0,1.2727272727272727,0.36363636363636365,1.2727272727272727,10.181818181818182,4.909090909090909,1.6363636363636365,1.0,2.8181818181818183,0.4377918612408272,0.40625,73.98534385569334,0.1475873544093178,0.9545454545454546,0.15501691093573844,0.24074074074074073,0.48214285714285715,0.16071428571428573,2.623732856290996,2.146690518783542,5.008944543828265,1.6696481812760882,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
301,10,chesapeakecollege,Amari Johnson,15,Fr,PF,Wing,,,12,1.8499999999999999,1.75,1.5,3,3.25,3.9166666666666665,0.4166666666666667,1.0,0.5,0.5,2.9166666666666665,3.1666666666666665,0.0,2.0833333333333335,2.4166666666666665,1.5,0.3979591836734694,0.3684210526315789,63.9344262295082,0.0587374340407503,0.4166666666666667,0.19672131147540983,,0.0,0.6578947368421053,1.3208585580627408,1.3208585580627408,5.173362685745735,3.852504127682994,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Unknown
