MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1,,Division II,henryfordcollege,Jayce Branson,4,Fr,Guard,Guard,6'4,,9,4.615,4.300000000000001,5.0,5,18.555555555555557,8.222222222222221,1.6666666666666667,0.8888888888888888,1.7777777777777777,1.1111111111111112,2.0,13.222222222222221,5.555555555555555,2.5555555555555554,1.7777777777777777,6.444444444444445,0.6466852540272614,0.634453781512605,121.79113185530922,0.16499013332049864,1.875,0.058343057176196034,0.38,0.42016806722689076,0.19327731092436976,1.0914051841746248,3.5470668485675305,10.09549795361528,2.4556616643929057,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite
2,,Division II,southsuburbancollege,Samar Bures,,,Guard,Guard,,,12,4.425,4.7,4.4,3,18.916666666666668,3.75,6.0,1.5,3.0,0.4166666666666667,1.3333333333333333,12.75,3.0,3.75,0.4166666666666667,3.3333333333333335,0.6568287037037036,0.6209150326797386,118.97274633123689,0.18903816430864345,4.0,0.09433962264150943,0.4444444444444444,0.23529411764705882,0.29411764705882354,2.1101992966002343,4.8065650644783116,5.275498241500586,1.8757327080890973,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
3,,Division II,southsuburbancollege,AJ Abrams,,,Guard,Guard,,,14,4.31,4.3,4.7,3,22.785714285714285,7.785714285714286,4.928571428571429,1.9285714285714286,3.642857142857143,0.35714285714285715,2.2142857142857144,15.428571428571429,0.6428571428571429,5.642857142857143,3.2142857142857144,4.571428571428571,0.6360663582708567,0.6111111111111112,114.84735023041475,0.23287165900935644,2.5555555555555554,0.09720622119815668,0.2222222222222222,0.041666666666666664,0.36574074074074076,2.6679841897233203,5.533596837944664,10.770750988142293,3.0632411067193677,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Unknown
4,,Division II,oaklandcommunitycollege,Jordan Wright,,,,Wing,,,13,4.2825,4.55,4.45,3,21.384615384615383,8.23076923076923,2.0,1.2307692307692308,1.1538461538461537,2.6153846153846154,2.4615384615384617,12.692307692307692,3.4615384615384617,2.923076923076923,2.3076923076923075,5.923076923076923,0.7649130530486463,0.7666666666666667,140.6028727493425,0.18036196453331388,1.625,0.08092251669026906,0.4666666666666667,0.2727272727272727,0.23030303030303031,1.638504864311316,5.017921146953405,10.957501280081924,3.277009728622632,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Unknown
5,,Division II,bevillstatecommunitycollege,EJ King,,,,Wing,,,7,4.275,4.15,5.0,3,19.571428571428573,9.142857142857142,2.2857142857142856,1.4285714285714286,1.2857142857142858,1.2857142857142858,1.0,14.285714285714286,3.2857142857142856,5.285714285714286,4.0,5.142857142857143,0.5890952872377021,0.575,108.48907190370605,0.21318117361064212,1.6,0.07918910357934748,0.391304347826087,0.23,0.37,1.953125,3.515625,12.5,1.3671875,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Elite,5,Insufficient Volume,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Unknown
6,,Division I,denmarktechnicalcollege,Jordan Burgess,,,,Wing,,,10,4.265,4.55,4.4,3,13.8,5.3,2.2,1.3,1.9,0.1,0.7,6.3,4.1,5.2,1.0,4.3,0.8034466697717746,0.6984126984126984,139.5631067961165,0.1509894942584901,1.6923076923076923,0.13147249190938512,0.4878048780487805,0.6507936507936508,0.8253968253968254,2.3360287511230906,3.5938903863432166,9.523809523809524,1.2578616352201257,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Unknown
7,,Division I,oliveharveycollege,Terrence Shannon,,,,Wing,,,13,4.26,4.75,4.1,3,17.76923076923077,5.0,4.923076923076923,0.7692307692307693,4.3076923076923075,0.38461538461538464,0.6923076923076923,10.076923076923077,3.769230769230769,5.384615384615385,0.7692307692307693,4.230769230769231,0.7138442521631644,0.6641221374045801,134.45867287543655,0.1822850352262117,6.4,0.05820721769499418,0.4489795918367347,0.37404580152671757,0.5343511450381679,1.1820330969267139,7.210401891252955,7.68321513002364,1.0638297872340425,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
8,,Division I,oliveharveycollege,Browder Marcus,,,,Wing,,,13,4.234999999999999,4.699999999999999,4.1,3,18.153846153846153,4.846153846153846,2.3846153846153846,1.2307692307692308,2.0,0.23076923076923078,1.2307692307692308,12.153846153846153,4.230769230769231,4.076923076923077,1.0769230769230769,3.769230769230769,0.6507831458195455,0.620253164556962,119.6026758564768,0.20936253289194465,1.9375,0.08108655990269613,0.36363636363636365,0.34810126582278483,0.33544303797468356,1.8912529550827424,3.4278959810874703,7.446808510638298,1.8912529550827424,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
9,,Division II,montgomerycollegemd,Ian Pascal,,,,Wing,,,13,4.21,4.65,4.1,3,26.53846153846154,6.6923076923076925,3.0,2.6923076923076925,2.3846153846153846,0.9230769230769231,1.5384615384615385,17.846153846153847,4.6923076923076925,5.769230769230769,1.9230769230769231,4.769230769230769,0.6509433962264151,0.6012931034482759,115.0,0.23372495247592637,1.1142857142857143,0.11666666666666667,0.4098360655737705,0.2629310344827586,0.3232758620689655,3.040834057341442,3.735881841876629,7.558644656820157,1.737619461337967,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Very Good,4,Unknown
10,,Division II,shortercollege,Daniel Cummins,,,,Wing,,,10,4.2,4.0,5.0,3,18.8,9.6,0.9,1.5,2.3,0.5,0.0,9.6,0.3,8.5,3.9,5.7,0.704647676161919,0.6666666666666666,126.68463611859838,0.17387636499976566,0.6,0.10107816711590296,0.0,0.03125,0.8854166666666666,2.0161290322580645,3.763440860215054,12.903225806451612,0.0,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Unknown
