MasterRank,TeamRank,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
51,1,monroecommunitycollege,Nate Brazil,,,,Wing,,,17,3.3724999999999996,3.85,2.85,3,16.352941176470587,3.1176470588235294,2.2941176470588234,1.9411764705882353,1.6470588235294117,0.4117647058823529,3.0588235294117645,12.176470588235293,5.764705882352941,4.235294117647059,0.8235294117647058,2.2941176470588234,0.5823697000167588,0.5410628019323671,102.32626619552414,0.1854572263331786,1.1818181818181819,0.12146643109540636,0.3877551020408163,0.47342995169082125,0.34782608695652173,2.499053388867853,2.6505111700113595,4.013631200302916,3.9379023097311623,Very Good,4,Average,3,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Average,3,Elite,5,Unknown
97,2,monroecommunitycollege,Alan Garcia,,,,Wing,,,15,3.0925000000000002,3.1500000000000004,3.05,3,13.466666666666667,7.4,2.4,1.2666666666666666,1.0,0.13333333333333333,1.6,11.2,3.6,3.8666666666666667,1.2666666666666666,6.133333333333334,0.5219098801157502,0.4523809523809524,95.04987765857331,0.16381463324391823,1.894736842105263,0.08940335027291549,0.2962962962962963,0.32142857142857145,0.34523809523809523,1.640051791109193,1.46741476046612,9.581355200690549,2.071644367716875,Below Average,2,Average,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Below Average,2,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
180,3,monroecommunitycollege,Matthew Medley,,,,Wing,,,17,2.5999999999999996,3.25,1.5,3,5.882352941176471,4.294117647058823,0.5294117647058824,0.7647058823529411,0.23529411764705882,0.8235294117647058,3.1176470588235294,4.117647058823529,0.0,1.3529411764705883,2.235294117647059,2.0588235294117645,0.6240639041437843,0.5714285714285714,107.38831615120274,0.06372146493677122,0.6923076923076923,0.13960481099656358,,0.0,0.32857142857142857,0.9938837920489296,1.3761467889908257,5.581039755351682,4.051987767584098,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Average,3,Elite,5,Unknown
202,4,monroecommunitycollege,Jeremiah Peoples,,,,Wing,,,18,2.5075000000000003,2.4000000000000004,2.45,3,7.555555555555555,2.611111111111111,2.2777777777777777,1.5555555555555556,1.1111111111111112,0.05555555555555555,1.5555555555555556,5.444444444444445,1.4444444444444444,2.5555555555555554,0.5555555555555556,2.0555555555555554,0.5751014884979703,0.5969387755102041,92.99781181619255,0.09409584598754311,1.4642857142857142,0.19146608315098468,0.2692307692307692,0.2653061224489796,0.46938775510204084,2.01294033069734,1.509705248023005,3.3788641265276778,2.01294033069734,Very Good,4,Poor,1,Poor,1,Average,3,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
203,5,monroecommunitycollege,Makai Reed,,,,Wing,,,18,2.5,2.7000000000000006,2.0,3,5.388888888888889,3.7222222222222223,0.5,0.7222222222222222,0.3888888888888889,0.6666666666666666,2.1666666666666665,4.166666666666667,0.8888888888888888,1.4444444444444444,0.7777777777777778,2.9444444444444446,0.561082832022212,0.5066666666666667,97.54625905068383,0.06398311628146394,0.6923076923076923,0.13073209975864844,0.25,0.21333333333333335,0.3466666666666667,0.9345794392523364,1.3659237958303379,4.816678648454349,2.803738317757009,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
210,6,monroecommunitycollege,Nile Atwater,,,,Wing,,,16,2.4325,2.25,2.45,3,8.1875,3.25,0.6875,1.8125,0.75,0.4375,1.875,6.4375,2.75,2.4375,0.75,2.5,0.5451065246338216,0.5048543689320388,87.82515419683561,0.10884731019586094,0.3793103448275862,0.19442209707696434,0.3181818181818182,0.42718446601941745,0.3786407766990291,2.3567655424624134,1.5440877691995123,4.225924420967087,2.438033319788704,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
221,7,monroecommunitycollege,Ajani Solomon,,,,Wing,,,18,2.3825000000000003,2.1500000000000004,2.45,3,7.5,3.7777777777777777,3.5,2.2222222222222223,1.1111111111111112,0.1111111111111111,1.3888888888888888,6.111111111111111,1.2777777777777777,3.1666666666666665,0.8888888888888888,2.888888888888889,0.4997038791827065,0.45,77.10760795065113,0.11265249395171668,1.575,0.22846698652044778,0.391304347826087,0.20909090909090908,0.5181818181818182,2.8756290438533427,1.5815959741193386,4.888569374550683,1.7972681524083394,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
224,8,monroecommunitycollege,Christopher Judge,,,,Wing,,,17,2.375,2.45,2.0,3,4.176470588235294,1.8823529411764706,1.6470588235294117,0.5294117647058824,0.47058823529411764,0.17647058823529413,1.0588235294117647,4.117647058823529,3.2941176470588234,0.7058823529411765,0.5294117647058824,1.3529411764705883,0.4715727948990436,0.44285714285714284,84.24299952539155,0.05717774762550882,3.111111111111111,0.10678690080683435,0.2857142857142857,0.8,0.17142857142857143,0.6818181818181818,0.8333333333333334,2.4242424242424243,1.3636363636363635,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
237,9,monroecommunitycollege,Khrystopher Murray,,,,Wing,,,17,2.3075,2.0,2.45,3,7.823529411764706,2.4705882352941178,0.8235294117647058,1.588235294117647,0.8235294117647058,0.29411764705882354,1.8235294117647058,6.0,1.7058823529411764,3.1176470588235294,0.4117647058823529,2.0588235294117645,0.530641557612512,0.46078431372549017,87.31617647058825,0.104231674604478,0.5185185185185185,0.17725840336134455,0.27586206896551724,0.28431372549019607,0.5196078431372549,2.0642201834862384,1.452599388379205,3.2110091743119265,2.3700305810397553,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
258,10,monroecommunitycollege,Uzziah Grimes,,,,Wing,,,15,2.15,2.0,2.0,3,4.666666666666667,1.6,0.6,0.8666666666666667,0.4,0.2,0.9333333333333333,4.066666666666666,2.466666666666667,0.8,0.5333333333333333,1.0666666666666667,0.528062764031382,0.5081967213114754,88.2946518668012,0.06134513603020831,0.6923076923076923,0.1639757820383451,0.32432432432432434,0.6065573770491803,0.19672131147540983,1.1294526498696786,0.7819287576020851,2.0851433536055604,1.2163336229365769,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
